HstNummer;Name ohne Ort;Ort;Globale ID;WGS84 X;WGS84 Y
2310;Unterhaching;Unterhaching;de:09184:2310;48,065226;11,6132493
2311;St.-Georg-Straße;Kirchstockach;de:09184:2311;48,029476;11,6768141
2312;Harthauser Straße;Höhenkirchen-Siegertsbrunn;de:09184:2312;48,0225189;11,7284492
2313;Haidstraße;Kirchstockach;de:09184:2313;48,0304252;11,6783412
2314;Taufkirchner Straße;Neukirchstockach;de:09184:2314;48,0340415;11,6856625
2315;Zusestraße;Brunnthal (b München);de:09184:2315;48,0407328;11,6614169
2316;Lindenstraße;Höhenkirchen-Siegertsbrunn;de:09184:2316;48,0215155;11,7037635
2317;Eugen-Sänger-Ring;Brunnthal (b München);de:09184:2317;48,0415556;11,664561
2318;Schmiedstraße;Höhenkirchen-Siegertsbrunn;de:09184:2318;48,0200374;11,7268772
2319;Hermann-Oberth-Str.;Putzbrunn;de:09184:2319;48,076355;11,7246763
2320;Taufkirchen;Taufkirchen (b München);de:09184:2320;48,0513385;11,6084972
2321;Brunnthaler Straße;Höhenkirchen-Siegertsbrunn;de:09184:2321;48,0161076;11,7095487
2322;Kirche;Höhenkirchen-Siegertsbrunn;de:09184:2322;48,018343;11,7121628
2323;Kirchplatz;Grasbrunn;de:09184:2323;48,0792958;11,7425617
2324;Ort;Brunnthal (b München);de:09184:2324;48,0071775;11,6854738
2325;Bergstraße;Potzham;de:09184:2325;48,0346842;11,6157196
2326;Hofolding;Hofolding;de:09184:2326;47,9835164;11,700314
2327;Wettersteinstraße;Potzham;de:09184:2327;48,0317888;11,6080301
2328;Raiffeisenbank;Faistenhaar;de:09184:2328;47,9844364;11,7158638
2329;Wallbergstraße;Potzham;de:09184:2329;48,0329182;11,6153962
2330;Furth;Furth (b München);de:09184:2330;48,0347263;11,5916178
2331;Jugendzentrum;Kirchheim (b München);de:09184:2331;48,168517;11,753099
2332;Waldsiedlung;Faistenhaar;de:09184:2332;47,9928415;11,7108333
2333;Parkallee;Kirchheim (b München);de:09184:2333;48,1707936;11,7512485
